name,category,description,latitude,longitude,tags,price,address ,link,pro tip,
berkeley rose garden,touch grass,"historic terraced rose garden with 250+ rose varieties. hillside amphitheater & bay views. good for kids or first dates. for my tennis players, don't steal my court.",37.8854051,-122.2630846,"park, picnic",free.99,"VPPP+9W6, 1200 Euclid Ave, Berkeley, CA 94708",https://berkeleyca.gov/parks-recreation/recreation-facilities/berkeley-rose-garden,,
solano cellars,drinks,cozy hideaway on solano. wine shop & bar with well-curated bottles and flights. everyone who works here knows their shit and has great taste. ,37.8909164,-122.2846726,"store, wine",$$,"1580 Solano Ave A, Berkeley, CA 94707",https://www.solanocellars.com,,
vintage berkeley,drinks,neighborhood wine shop with small-producer bottles & frequent tastings. serious but unpretentious.,37.8574642,-122.252916,"store, wine",$$,"2949 College Ave, Berkeley, CA 94705",https://www.vintageberkeley.com,,
couchdate ,objects Dept,newly reimagined afro indo market with fancy teas and antique rugs. old books and curated sounds.,37.8369879,-122.2621648,"store, vintage, furniture",$$$,"5032 Telegraph Ave, Oakland, CA 94609",https://www.instagram.com/couchdateoakland,,
oakland vintage market,objects Dept,"good finds, outside. once a month, so check the schedule.",37.7975497,-122.2792566,,$$,"560 2nd St, Oakland, CA 94607",https://maps.app.goo.gl/C3FoituNBuusQGnA9,,
sibley volcanic preserve,touch grass,lovelty flatish hike. lot's of sun. nice views to the east and west.,37.8476095,-122.1989708,,free.99,"6800 Skyline Blvd, Oakland, CA 94611",https://maps.app.goo.gl/1Qo7xsWLE31aHnRR8,,
briones -- springhill road trailhead,touch grass,"trying not to give toooooo many of my top favorite hikes away because i like to be alone, but - although quite vertical - this one's a secret favorite with killer views of diablo & the east bay. ",37.9152986,-122.1224817,park,free.99,"4040 Springhill Rd, Lafayette, CA 94549",https://maps.app.goo.gl/bVCa5B7hVXUUmZDx9,,
telegraph estate vintage market,objects Dept,reletively new addition to the west oakland thrift game. good finds.,37.8154557,-122.2922452,,$$$,"1900 Campbell St, Oakland, CA 94607",https://maps.app.goo.gl/HGnuv96c7BWFLHLs8,,
chappell hayes observation tower,touch grass,"you got to appreciate a little grunge to appreciate this park, but i love to drag folks out to this corner of west oakland for a walk + view. best view of the port.",37.8045767,-122.3232961,park,free.99,"2777 Middle Harbor Rd, Oakland, CA 94607",https://maps.app.goo.gl/rNYCkFDGJt8VvGq97,,
cesar chavez,touch grass,windy picnic spot. lovely views of the city. bring a dog or a kite or a shotgot to shoot at drones.,37.8695504,-122.3189229,"park, views",free.99,"11 Spinnaker Way, Berkeley, CA 94710",https://maps.app.goo.gl/eguzsXPeu58nZDjg8,,
the study wine bar,drinks,epicenter for funky shtuff run by noel and barrie -- both of whom are mayoral figures of the area. sleeper hits and super fun wines. a lot of 00 stuff.,37.9125986,-122.3563523,,$$,"1401 Marina Way S #280, Richmond, CA 94804",https://www.peerspace.com/pages/listings/673015b68687373c1c04f30e?rwg_token=ACgRB3eV4xX9W0OTuCzKxD4yWBbqKPjkYK9aDyTXSRcyzgPo5AlVRS85WH2EJKp62xGEsncTlaFZAr6FX6Whd0FErTHGXLJRi0Jap19oR3dwY3GQ7Ml09UY%3D,,
archery range,aesthetic moments,"free archery range (+donation) if you have a bow, arrows, & a bycock hat. they have a golf course like set up for archery. pretty fun.",37.818617,-122.1789344,,free.99,"10900 Skyline Blvd, Oakland, CA 94619",https://sites.google.com/view/redwood-bowmen,,
emilia's pizzeria,food,one man opperation throwing made-to-order pizzas cut into 8 unequal slices. don't sleep on it.,37.8555266,-122.2662672,,$$,"2995 Shattuck Ave., Berkeley, CA 94705",https://emiliaspizzeria.com,,
montclair driving range,aesthetic moments,"we can all agree that golf is stupid. HOWEVER, there are pitchers of cheap beer here and you can go with other non-golf people and have a very fun time.",37.8186494,-122.208406,golf,$$,"2477 Monterey Blvd, Oakland, CA 94611",https://montclairgc.com,,
redwood bowl staging area,touch grass,west ridge trail > chown > french > redwood peak trail. that's the move.,37.8167412,-122.1802328,,free.99,"10060 Skyline Blvd, Oakland, CA 94611",https://www.alltrails.com/trail/us/california/west-ridge-chown-french-and-redwood-peak-trail-loop?sh=qrvdod&utm_medium=trail_share&utm_source=alltrails_virality,,
bombera,food,"big, bangin' space dedicated to fire and the collision of mexico and california. michelin bib = good value for quality -- (this time they're right).",37.7995651,-122.2151764,mexican,$$$,"3459 Champion St, Oakland, CA 94602",bomberaoakland.com,,
oken,food,albert gets down to business (of Ok's deli fame). playful/casual/contemporary korean/japanese.,37.8494956,-122.2520278,korean,$$$,"6200 Claremont Ave, Oakland, CA 94618",okenoakland.com,,
bar panisse,drinks,"chez panisse's little sister, but i'd rather be there any day of the week. refreshingly fresh. nothing is mindblowing, but everything is perfect.",37.8796698,-122.2689748,,$$$$,"1515 Shattuck Ave., Berkeley, CA 94709",barpanisse.com,,
cafe brusco,food,"good coffee, truly yes; and in a neck of the woods that needs more of it. But this is really on the list because they carry Good Luck Bakery pastries which will one day take over the east bay.",37.8716245,-122.2705421,,$$,"2000 University Ave, Berkeley, CA 94704",https://www.cafebrusco.com/,,
